,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1105,4311,Bighorn Mountain Wild And Scenic Trail Run,100M,United States,solo,161.3,5500.0,-5500.0,0,125,USA,2013,06,14,125,216.3,0.25427646786870084
1106,4309,SAN DIEGO 100,San Diego 100,United States,solo,160.9,4790.0,-4790.0,0,82,USA,2013,06,08,82,208.8,0.22940613026819923
1107,4329,Kettle Moraine 100,100 Mile,United States,solo,161.9,2682.0,-2682.0,0,113,USA,2013,06,01,113,188.72,0.14211530309453158
1108,4313,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,United States,solo,161.0,3425.0,-3425.0,0,98,USA,2013,06,01,98,195.25,0.17541613316261204
1109,4942,OLD DOMINION 100 MILE,OLD DOMINION 100 MILE,United States,solo,161.0,4270.0,-4270.0,0,22,USA,2013,06,01,22,203.7,0.2096219931271478
1110,5623,Bryce Canyon,100 Mile,United States,solo,161.0,4200.0,-4200.0,0,114,USA,2013,05,31,114,203.0,0.20689655172413793
1111,4292,SULPHUR SPRINGS,SULPHUR SPRINGS 100 MILES,Canada,solo,161.0,3220.0,-3220.0,0,57,CAN,2013,05,25,57,193.2,0.16666666666666669
1112,4310,MASSANUTTEN MOUNTAIN TRAILS 100 MILE RUN,MASSANUTTEN MOUNTAIN TRAILS 100 MILE RUN,United States,solo,163.8,6100.0,-6100.0,0,151,USA,2013,05,18,151,224.8,0.2713523131672598
1113,4361,Salomon Hammer Trail,100 Miles,Denmark,solo,161.0,4000.0,-4000.0,0,15,DNK,2013,05,04,15,201.0,0.19900497512437812
1114,5079,Oh Meu Deus,K160+,Portugal,solo,166.3,7110.0,-7110.0,0,18,PRT,2013,04,26,18,237.4,0.2994945240101095
1115,5455,SALT FLATS 100,SALT FLATS 100,United States,solo,161.0,3200.0,-3200.0,0,37,USA,2013,04,26,37,193.0,0.16580310880829016
1116,4287,Ultra-Trail Mt. Fuji,UTMF,Japan,solo,161.0,9164.0,-9164.0,12,724,JPN,2013,04,26,724,252.64,0.36272957568081066
