,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
418,29719.0,Hume And Hovell Ultra,100 Mile,Tumbarumba,Australia,2018-10-13,06:00:00,solo,162.7,3670.0,-3660.0,10.0,100.0
419,30713.0,INDIANA TRAIL 100,100 mi,Albion,United States,2018-10-13,06:00:00,solo,161.7,3490.0,-3490.0,5.0,250.0
420,33167.0,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,2018-10-12,00:00:00,solo,162.6,6920.0,-6920.0,15.0,150.0
421,35935.0,Crimea X Run,Stage Race,Yalta,Ukraine,2018-10-10,10:00:00,solo,174.7,9480.0,-9530.0,8.0,200.0
422,30363.0,Bromont Ultra,160km,Bromont,Canada,2018-10-06,07:30:00,solo,158.1,6090.0,-6090.0,17.0,0.0
423,30463.0,100 Miles Sud De France,100 Miles,bolquere,France,2018-10-05,10:00:00,solo,172.6,8130.0,-9870.0,15.0,500.0
424,58549.0,Grindstone 100,Grindstone 100,Swoope,United States,2018-10-05,00:00:00,solo,159.6,6980.0,-6980.0,15.0,300.0
425,32919.0,Pirin Ultra,160km,Bansko,Bulgaria,2018-10-05,00:00:00,solo,165.1,10310.0,-10300.0,9.0,0.0
426,30547.0,Szlak Orlich Gniazd - Ultra,Szlak Orlich Gniazd - Ultra,KwasniówDolny,Poland,2018-10-05,20:00:00,solo,161.1,2730.0,-2730.0,7.0,150.0
427,29219.0,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,2018-10-05,19:00:00,solo,171.9,6890.0,-6890.0,15.0,0.0
428,31481.0,NERANG 200 miler,NERANG 100 miler,Nerang,Australia,2018-09-29,06:00:00,solo,161.7,5820.0,-5820.0,6.0,100.0
429,30505.0,WUT - Wienerwald Ultra Trail,TITAN-WUT,Purkersdorf,Austria,2018-09-29,06:30:00,solo,163.8,5360.0,-5380.0,15.0,50.0
430,27193.0,BEAR 100,BEAR 100,Smithfield,United States,2018-09-28,00:00:00,solo,160.93,6863.0,-6576.0,13.0,0.0
431,35953.0,Lycian Way Ultra Marathon,LYUM XXL - 174K,İstanbul,Turkey,2018-09-28,00:00:00,solo,174.4,6070.0,-6390.0,16.0,0.0
432,34813.0,Black River Run,100 Miles,Västerås,Sweden,2018-09-22,10:00:00,solo,161.5,1030.0,-1030.0,9.0,200.0
433,25831.0,Cotswold Way Century,102 Miles,ChippingCampden,United Kingdom,2018-09-22,12:00:00,solo,165.7,4150.0,-4270.0,10.0,130.0
434,31635.0,Waterous Trail On Foot,WTF 100,Dwellingup,Australia,2018-09-22,06:00:00,solo,162.1,3840.0,-3840.0,9.0,30.0
435,36129.0,Adamello Ultra-Trail®,Ultra-Trail® - 180 km,Vezzad'Oglio,Italy,2018-09-21,09:00:00,solo,165.0,11380.0,-11380.0,19.0,0.0
436,31975.0,Karkloof100,Karkloof100,Howick,South Africa,2018-09-21,22:00:00,solo,157.0,3330.0,-3410.0,9.0,75.0
438,28825.0,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,2018-09-15,06:00:00,solo,161.5,5470.0,-5460.0,12.0,150.0
439,29149.0,Old Cascadia,100 Mile,BlueRiver,United States,2018-09-15,07:00:00,solo,165.7,8120.0,-8110.0,14.0,100.0
441,36981.0,RUN RABBIT RUN,100 Hare,,United States,2018-09-15,00:00:00,solo,165.8,6160.0,-6160.0,0.0,0.0
442,38353.0,Shinetsu Five Mountains Trail,100 miles,Ohzatagiri,"Myoko, Japan",2018-09-15,19:30:00,solo,164.3,6420.0,-6240.0,9.0,0.0
445,36855.0,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,2018-09-08,00:00:00,solo,155.8,5785.0,-5785.0,0.0,0.0
446,31163.0,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,2018-09-08,06:00:00,solo,173.3,4870.0,-4870.0,6.0,200.0
447,37343.0,Superior Fall Trail Race,100m,Lutsen,United States,2018-09-07,08:00:00,solo,168.0,5200.0,-5060.0,13.0,0.0
448,25877.0,SwissPeaks Trail,170K Valais*Wallis,LeBouveret,Switzerland,2018-09-07,13:00:00,solo,165.0,10780.0,-12020.0,13.0,400.0
449,36961.0,WASATCH FRONT 100 MILE ENDURANCE RUN,WASATCH FRONT 100 MILE ENDURANCE RUN,,United States,2018-09-07,00:00:00,solo,161.0,8215.0,-7965.0,0.0,0.0
450,23479.0,Ultra Tour Monte Rosa,Ultra Tour 170 km,Grächen,Switzerland,2018-09-06,06:00:00,solo,170.0,10990.0,-10990.0,15.0,200.0
451,23475.0,Ultra Tour Monte Rosa,4 Stage Race 170 km,Grächen,Switzerland,2018-09-05,06:00:00,solo,171.6,10940.0,-10920.0,11.0,300.0
453,33867.0,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,2018-09-01,06:45:00,solo,159.6,6340.0,-6350.0,17.0,100.0
454,25073.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,18:00:00,solo,170.0,9990.0,-9990.0,16.0,2300.0
455,28097.0,Velebit 100 miles,Velebit 100 miles,Zagreb,Croatia,2018-08-31,00:00:00,solo,157.5,6430.0,-6440.0,4.0,0.0
457,26491.0,Ultra Tour des 4 Massifs,Ut4M160 Xtrem,Grenoble,France,2018-08-24,16:00:00,solo,163.7,10710.0,-10770.0,16.0,700.0
459,27555.0,"Beacons 100/50, Beacons Ultra/Marathon - Force12 Events -",Beacons 100,Brecon,United Kingdom,2018-08-18,19:00:00,solo,162.6,6730.0,-6730.0,5.0,150.0
460,36963.0,CASCADE CREST 100 MILE ENDURANCE RUN,Cascade Crest 100 Mile Endurance Run,,United States,2018-08-18,00:00:00,solo,161.0,6700.0,-6700.0,0.0,0.0
461,35411.0,Habanero Hundred,100M,CatSprings,United States,2018-08-18,12:00:00,solo,157.6,1840.0,-1800.0,0.0,0.0
462,36235.0,Leadville Trail 100 Run,Leadville Trial 100 Run,Leadville,United States,2018-08-18,00:00:00,solo,162.2,4490.0,-4480.0,0.0,0.0
463,29749.0,Kodiak Ultra Marathons,Kodiak 100 Mile,BigBearLake,United States,2018-08-17,08:00:00,solo,163.8,5210.0,-5220.0,15.0,99.0
464,35121.0,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2018-08-17,18:00:00,solo,157.6,7090.0,-7120.0,13.0,150.0
465,33955.0,Mt. Wumeng Ultra Trail,168KM solo,Zhaotong,China,2018-08-11,05:00:00,solo,164.6,7790.0,-7350.0,14.0,100.0
466,33957.0,Mt. Wumeng Ultra Trail,168KM team,Zhaotong,China,2018-08-11,05:00:00,team,164.6,7790.0,-7350.0,14.0,60.0
467,32253.0,Ute 100 Mile Trail Race,Ute 100 Mile Trail Race,OldLaSal,United States,2018-08-11,03:00:00,solo,159.5,6180.0,-6180.0,9.0,200.0
468,33781.0,Chongli100 Ultra Sky Trail Challenge,168 Km,chongji,China,2018-08-10,18:00:00,solo,166.6,7290.0,-7290.0,12.0,150.0
469,25985.0,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2018-08-04,06:00:00,solo,168.0,3420.0,-3460.0,14.0,300.0
470,35965.0,High Lonesome 100,100M,Nathrop,United States,2018-08-03,06:00:00,solo,160.0,6480.0,-6480.0,12.0,100.0
